,variable,mapped_id,description,calculation,index,map
520,completion.title_iv.female.completed_by.2yrs,FEMALE_COMP_ORIG_YR2_RT,Percent of female students who completed within 2 years at original institution,,,
521,completion.title_iv.female.transf_completed_4yr_by.2yrs,FEMALE_COMP_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and completed within 2 years,,,
522,completion.title_iv.female.transf_completed_2yr_by.2yrs,FEMALE_COMP_2YR_TRANS_YR2_RT,Percent of female students who transferred to a 2-year institution and completed within 2 years,,,
523,completion.title_iv.female.withdrawn_by.2yrs,FEMALE_WDRAW_ORIG_YR2_RT,Percent of female students withdrawn from original institution within 2 years,,,
524,completion.title_iv.female.transf_withdrawn_4yr_by.2yrs,FEMALE_WDRAW_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and withdrew within 2 years,,,
525,completion.title_iv.female.transf_withdrawn_2yr_by.2yrs,FEMALE_WDRAW_2YR_TRANS_YR2_RT,Percent of female students who transferred to a 2-year institution and withdrew within 2 years,,,
526,completion.title_iv.female.still_enrolled_by.2yrs,FEMALE_ENRL_ORIG_YR2_RT,Percent of female students who were still enrolled at original institution within 2 years,,,
527,completion.title_iv.female.transf_still_enrolled_4yr_by.2yrs,FEMALE_ENRL_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 2 years,,,
528,completion.title_iv.female.transf_still_enrolled_2yr_by.2yrs,FEMALE_ENRL_2YR_TRANS_YR2_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 2 years,,,
529,completion.title_iv.female.unknown_by.2yrs,FEMALE_UNKN_ORIG_YR2_RT,Percent of female students with status unknown within 2 years at original institution,,,
530,completion.title_iv.female.transf_unknown_4yr_by.2yrs,FEMALE_UNKN_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 2 years,,,
531,completion.title_iv.female.transf_unknown_2yr_by.2yrs,FEMALE_UNKN_2YR_TRANS_YR2_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 2 years,,,
532,completion.title_iv.male.died_by.2yrs,MALE_DEATH_YR2_RT,Percent of male students who died within 2 years at original institution,,,
533,completion.title_iv.male.completed_by.2yrs,MALE_COMP_ORIG_YR2_RT,Percent of male students who completed within 2 years at original institution,,,
534,completion.title_iv.male.transf_completed_4yr_by.2yrs,MALE_COMP_4YR_TRANS_YR2_RT,Percent of male students who transferred to a 4-year institution and completed within 2 years,,,
535,completion.title_iv.male.transf_completed_2yr_by.2yrs,MALE_COMP_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and completed within 2 years,,,
536,completion.title_iv.male.withdrawn_by.2yrs,MALE_WDRAW_ORIG_YR2_RT,Percent of male students withdrawn from original institution within 2 years,,,
537,completion.title_iv.male.transf_withdrawn_4yr_by.2yrs,MALE_WDRAW_4YR_TRANS_YR2_RT,Percent of male students who transferred to a 4-year institution and withdrew within 2 years,,,
538,completion.title_iv.male.transf_withdrawn_2yr_by.2yrs,MALE_WDRAW_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and withdrew within 2 years,,,
539,completion.title_iv.male.still_enrolled_by.2yrs,MALE_ENRL_ORIG_YR2_RT,Percent of male students who were still enrolled at original institution within 2 years,,,
540,completion.title_iv.male.transf_still_enrolled_4yr_by.2yrs,MALE_ENRL_4YR_TRANS_YR2_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 2 years,,,
541,completion.title_iv.male.transf_still_enrolled_2yr_by.2yrs,MALE_ENRL_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 2 years,,,
542,completion.title_iv.male.unknown_by.2yrs,MALE_UNKN_ORIG_YR2_RT,Percent of male students with status unknown within 2 years at original institution,,,
543,completion.title_iv.male.transf_unknown_4yr_by.2yrs,MALE_UNKN_4YR_TRANS_YR2_RT,Percent of male students who transferred to a 4-year institution and whose status is unknown within 2 years,,,
544,completion.title_iv.male.transf_unknown_2yr_by.2yrs,MALE_UNKN_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 2 years,,,
545,completion.title_iv.pell_recip.died_by.2yrs,PELL_DEATH_YR2_RT,Percent of students who received a Pell Grant at the institution and who died within 2 years at original institution,,,
546,completion.title_iv.pell_recip.completed_by.2yrs,PELL_COMP_ORIG_YR2_RT,Percent of students who received a Pell Grant at the institution and who completed in 2 years at original institution,,,
547,completion.title_iv.pell_recip.transf_completed_4yr_by.2yrs,PELL_COMP_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 2 years,,,
548,completion.title_iv.pell_recip.transf_completed_2yr_by.2yrs,PELL_COMP_2YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 2 years,,,
549,completion.title_iv.pell_recip.withdrawn_by.2yrs,PELL_WDRAW_ORIG_YR2_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 2 years,,,
550,completion.title_iv.pell_recip.transf_withdrawn_4yr_by.2yrs,PELL_WDRAW_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 2 years,,,
551,completion.title_iv.pell_recip.transf_withdrawn_2yr_by.2yrs,PELL_WDRAW_2YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 2 years,,,
552,completion.title_iv.pell_recip.still_enrolled_by.2yrs,PELL_ENRL_ORIG_YR2_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 2 years,,,
553,completion.title_iv.pell_recip.transf_still_enrolled_4yr_by.2yrs,PELL_ENRL_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 2 years,,,
554,completion.title_iv.pell_recip.transf_still_enrolled_2yr_by.2yrs,PELL_ENRL_2YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,,,
555,completion.title_iv.pell_recip.unknown_by.2yrs,PELL_UNKN_ORIG_YR2_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 2 years at original institution,,,
556,completion.title_iv.pell_recip.transf_unknown_4yr_by.2yrs,PELL_UNKN_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,,,
557,completion.title_iv.pell_recip.transf_unknown_2yr_by.2yrs,PELL_UNKN_2YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,,,
558,completion.title_iv.no_pell.died_by.2yrs,NOPELL_DEATH_YR2_RT,Percent of students who never received a Pell Grant at the institution and who died within 2 years at original institution,,,
559,completion.title_iv.no_pell.completed_by.2yrs,NOPELL_COMP_ORIG_YR2_RT,Percent of students who never received a Pell Grant at the institution and who completed in 2 years at original institution,,,
560,completion.title_iv.no_pell.transf_completed_4yr_by.2yrs,NOPELL_COMP_4YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 2 years,,,
561,completion.title_iv.no_pell.transf_completed_2yr_by.2yrs,NOPELL_COMP_2YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 2 years,,,
562,completion.title_iv.no_pell.withdrawn_by.2yrs,NOPELL_WDRAW_ORIG_YR2_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 2 years,,,
563,completion.title_iv.no_pell.transf_withdrawn_4yr_by.2yrs,NOPELL_WDRAW_4YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 2 years,,,
564,completion.title_iv.no_pell.transf_withdrawn_2yr_by.2yrs,NOPELL_WDRAW_2YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 2 years,,,
565,completion.title_iv.no_pell.still_enrolled_by.2yrs,NOPELL_ENRL_ORIG_YR2_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 2 years,,,
566,completion.title_iv.no_pell.transf_still_enrolled_4yr_by.2yrs,NOPELL_ENRL_4YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 2 years,,,
567,completion.title_iv.no_pell.transf_still_enrolled_2yr_by.2yrs,NOPELL_ENRL_2YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,,,
568,completion.title_iv.no_pell.unknown_by.2yrs,NOPELL_UNKN_ORIG_YR2_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 2 years at original institution,,,
569,completion.title_iv.no_pell.transf_unknown_4yr_by.2yrs,NOPELL_UNKN_4YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,,,
570,completion.title_iv.no_pell.transf_unknown_2yr_by.2yrs,NOPELL_UNKN_2YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,,,
571,completion.title_iv.loan_recip.died_by.2yrs,LOAN_DEATH_YR2_RT,Percent of students who received a federal loan at the institution and who died within 2 years at original institution,,,
572,completion.title_iv.loan_recip.completed_by.2yrs,LOAN_COMP_ORIG_YR2_RT,Percent of students who received a federal loan at the institution and who completed in 2 years at original institution,,,
573,completion.title_iv.loan_recip.transf_completed_4yr_by.2yrs,LOAN_COMP_4YR_TRANS_YR2_RT,Percent of students who received a federel loan at the institution and who transferred to a 4-year institution and completed within 2 years,,,
574,completion.title_iv.loan_recip.transf_completed_2yr_by.2yrs,LOAN_COMP_2YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years,,,
575,completion.title_iv.loan_recip.withdrawn_by.2yrs,LOAN_WDRAW_ORIG_YR2_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 2 years,,,
576,completion.title_iv.loan_recip.transf_withdrawn_4yr_by.2yrs,LOAN_WDRAW_4YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years,,,
577,completion.title_iv.loan_recip.transf_withdrawn_2yr_by.2yrs,LOAN_WDRAW_2YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years,,,
578,completion.title_iv.loan_recip.still_enrolled_by.2yrs,LOAN_ENRL_ORIG_YR2_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 2 years,,,
579,completion.title_iv.loan_recip.transf_still_enrolled_4yr_by.2yrs,LOAN_ENRL_4YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years,,,
580,completion.title_iv.loan_recip.transf_still_enrolled_2yr_by.2yrs,LOAN_ENRL_2YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,,,
581,completion.title_iv.loan_recip.unknown_by.2yrs,LOAN_UNKN_ORIG_YR2_RT,Percent of students who received a federal loan at the institution and with status unknown within 2 years at original institution,,,
582,completion.title_iv.loan_recip.transf_unknown_4yr_by.2yrs,LOAN_UNKN_4YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,,,
583,completion.title_iv.loan_recip.transf_unknown_2yr_by.2yrs,LOAN_UNKN_2YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,,,
584,completion.title_iv.no_loan.died_by.2yrs,NOLOAN_DEATH_YR2_RT,Percent of students who never received a federal loan at the institution and who died within 2 years at original institution,,,
585,completion.title_iv.no_loan.completed_by.2yrs,NOLOAN_COMP_ORIG_YR2_RT,Percent of students who never received a federal loan at the institution and who completed in 2 years at original institution,,,
586,completion.title_iv.no_loan.transf_completed_4yr_by.2yrs,NOLOAN_COMP_4YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 2 years,,,
587,completion.title_iv.no_loan.transf_completed_2yr_by.2yrs,NOLOAN_COMP_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years,,,
588,completion.title_iv.no_loan.withdrawn_by.2yrs,NOLOAN_WDRAW_ORIG_YR2_RT,Percent of students who never received a federal loan at the institution and withdrew from original institution within 2 years,,,
589,completion.title_iv.no_loan.transf_withdrawn_4yr_by.2yrs,NOLOAN_WDRAW_4YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years,,,
590,completion.title_iv.no_loan.transf_withdrawn_2yr_by.2yrs,NOLOAN_WDRAW_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years,,,
591,completion.title_iv.no_loan.still_enrolled_by.2yrs,NOLOAN_ENRL_ORIG_YR2_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 2 years,,,
592,completion.title_iv.no_loan.transf_still_enrolled_4yr_by.2yrs,NOLOAN_ENRL_4YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years,,,
593,completion.title_iv.no_loan.transf_still_enrolled_2yr_by.2yrs,NOLOAN_ENRL_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,,,
594,completion.title_iv.no_loan.unknown_by.2yrs,NOLOAN_UNKN_ORIG_YR2_RT,Percent of students who never received a federal loan at the institution and with status unknown within 2 years at original institution,,,
595,completion.title_iv.no_loan.transf_unknown_4yr_by.2yrs,NOLOAN_UNKN_4YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,,,
596,completion.title_iv.no_loan.transf_unknown_2yr_by.2yrs,NOLOAN_UNKN_2YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,,,
597,completion.title_iv.first_gen.died_by.2yrs,FIRSTGEN_DEATH_YR2_RT,Percent of first-generation students who died within 2 years at original institution,,,
598,completion.title_iv.first_gen.completed_by.2yrs,FIRSTGEN_COMP_ORIG_YR2_RT,Percent of first-generation students who completed within 2 years at original institution,,,
599,completion.title_iv.first_gen.transf_completed_4yr_by.2yrs,FIRSTGEN_COMP_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 2 years,,,
600,completion.title_iv.first_gen.transf_completed_2yr_by.2yrs,FIRSTGEN_COMP_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 2 years,,,
601,completion.title_iv.first_gen.withdrawn_by.2yrs,FIRSTGEN_WDRAW_ORIG_YR2_RT,Percent of first-generation students withdrawn from original institution within 2 years,,,
602,completion.title_iv.first_gen.transf_withdrawn_4yr_by.2yrs,FIRSTGEN_WDRAW_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 2 years,,,
603,completion.title_iv.first_gen.transf_withdrawn_2yr_by.2yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 2 years,,,
604,completion.title_iv.first_gen.still_enrolled_by.2yrs,FIRSTGEN_ENRL_ORIG_YR2_RT,Percent of first-generation students who were still enrolled at original institution within 2 years,,,
605,completion.title_iv.first_gen.transf_still_enrolled_4yr_by.2yrs,FIRSTGEN_ENRL_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 2 years,,,
606,completion.title_iv.first_gen.transf_still_enrolled_2yr_by.2yrs,FIRSTGEN_ENRL_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 2 years,,,
607,completion.title_iv.first_gen.unknown_by.2yrs,FIRSTGEN_UNKN_ORIG_YR2_RT,Percent of first-generation students with status unknown within 2 years at original institution,,,
608,completion.title_iv.first_gen.transf_unknown_4yr_by.2yrs,FIRSTGEN_UNKN_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years,,,
609,completion.title_iv.first_gen.transf_unknown_2yr_by.2yrs,FIRSTGEN_UNKN_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years,,,
610,completion.title_iv.not_first_gen.died_by.2yrs,NOT1STGEN_DEATH_YR2_RT,Percent of not-first-generation students who died within 2 years at original institution,,,
611,completion.title_iv.not_first_gen.completed_by.2yrs,NOT1STGEN_COMP_ORIG_YR2_RT,Percent of not-first-generation students who completed within 2 years at original institution,,,
612,completion.title_iv.not_first_gen.transf_completed_4yr_by.2yrs,NOT1STGEN_COMP_4YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 4-year institution and completed within 2 years,,,
613,completion.title_iv.not_first_gen.transf_completed_2yr_by.2yrs,NOT1STGEN_COMP_2YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 2 years,,,
614,completion.title_iv.not_first_gen.withdrawn_by.2yrs,NOT1STGEN_WDRAW_ORIG_YR2_RT,Percent of not-first-generation students withdrawn from original institution within 2 years,,,
615,completion.title_iv.not_first_gen.transf_withdrawn_4yr_by.2yrs,NOT1STGEN_WDRAW_4YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 2 years,,,
616,completion.title_iv.not_first_gen.transf_withdrawn_2yr_by.2yrs,NOT1STGEN_WDRAW_2YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 2 years,,,
617,completion.title_iv.not_first_gen.still_enrolled_by.2yrs,NOT1STGEN_ENRL_ORIG_YR2_RT,Percent of not-first-generation students who were still enrolled at original institution within 2 years,,,
618,completion.title_iv.not_first_gen.transf_still_enrolled_4yr_by.2yrs,NOT1STGEN_ENRL_4YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 2 years,,,
619,completion.title_iv.not_first_gen.transf_still_enrolled_2yr_by.2yrs,NOT1STGEN_ENRL_2YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 2 years,,,
620,completion.title_iv.not_first_gen.unknown_by.2yrs,NOT1STGEN_UNKN_ORIG_YR2_RT,Percent of not-first-generation students with status unknown within 2 years at original institution,,,
621,completion.title_iv.not_first_gen.transf_unknown_4yr_by.2yrs,NOT1STGEN_UNKN_4YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years,,,
622,completion.title_iv.not_first_gen.transf_unknown_2yr_by.2yrs,NOT1STGEN_UNKN_2YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years,,,
623,completion.title_iv.died_by.3yrs,DEATH_YR3_RT,Percent died within 3 years at original institution,,,
624,completion.title_iv.completed_by.3yrs,COMP_ORIG_YR3_RT,Percent completed within 3 years at original institution,,,
625,completion.title_iv.transf_completed_4yr_by.3yrs,COMP_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and completed within 3 years,,,
626,completion.title_iv.transf_completed_2yr_by.3yrs,COMP_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and completed within 3 years,,,
627,completion.title_iv.withdrawn_by.3yrs,WDRAW_ORIG_YR3_RT,Percent withdrawn from original institution within 3 years,,,
628,completion.title_iv.transf_withdrawn_4yr_by.3yrs,WDRAW_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and withdrew within 3 years,,,
629,completion.title_iv.transf_withdrawn_2yr_by.3yrs,WDRAW_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and withdrew within 3 years,,,
630,completion.title_iv.still_enrolled_by.3yrs,ENRL_ORIG_YR3_RT,Percent still enrolled at original institution within 3 years,,,
631,completion.title_iv.transf_still_enrolled_4yr_by.3yrs,ENRL_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and were still enrolled within 3 years,,,
632,completion.title_iv.transf_still_enrolled_2yr_by.3yrs,ENRL_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and were still enrolled within 3 years,,,
633,completion.title_iv.unknown_by.3yrs,UNKN_ORIG_YR3_RT,Percent with status unknown within 3 years at original institution,,,
634,completion.title_iv.transf_unknown_4yr_by.3yrs,UNKN_4YR_TRANS_YR3_RT,Percent who transferred to a 4-year institution and whose status is unknown within 3 years,,,
635,completion.title_iv.transf_unknown_2yr_by.3yrs,UNKN_2YR_TRANS_YR3_RT,Percent who transferred to a 2-year institution and whose status is unknown within 3 years,,,
636,completion.title_iv.low_inc.died_by.3yrs,LO_INC_DEATH_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who died within 3 years at original institution",,,
637,completion.title_iv.low_inc.completed_by.3yrs,LO_INC_COMP_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 3 years at original institution",,,
638,completion.title_iv.low_inc.transf_completed_4yr_by.3yrs,LO_INC_COMP_4YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years",,,
639,completion.title_iv.low_inc.transf_completed_2yr_by.3yrs,LO_INC_COMP_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years",,,
640,completion.title_iv.low_inc.withdrawn_by.3yrs,LO_INC_WDRAW_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 3 years",,,
641,completion.title_iv.low_inc.transf_withdrawn_4yr_by.3yrs,LO_INC_WDRAW_4YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years",,,
642,completion.title_iv.low_inc.transf_withdrawn_2yr_by.3yrs,LO_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years",,,
643,completion.title_iv.low_inc.still_enrolled_by.3yrs,LO_INC_ENRL_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 3 years",,,
644,completion.title_iv.low_inc.transf_still_enrolled_4yr_by.3yrs,LO_INC_ENRL_4YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years",,,
645,completion.title_iv.low_inc.transf_still_enrolled_2yr_by.3yrs,LO_INC_ENRL_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years",,,
646,completion.title_iv.low_inc.unknown_by.3yrs,LO_INC_UNKN_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 3 years at original institution",,,
647,completion.title_iv.low_inc.transf_unknown_4yr_by.3yrs,LO_INC_UNKN_4YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years",,,
648,completion.title_iv.low_inc.transf_unknown_2yr_by.3yrs,LO_INC_UNKN_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years",,,
649,completion.title_iv.mid_inc.died_by.3yrs,MD_INC_DEATH_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 3 years at original institution",,,
650,completion.title_iv.mid_inc.completed_by.3yrs,MD_INC_COMP_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 3 years at original institution",,,
651,completion.title_iv.mid_inc.transf_completed_4yr_by.3yrs,MD_INC_COMP_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years",,,
652,completion.title_iv.mid_inc.transf_completed_2yr_by.3yrs,MD_INC_COMP_2YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years",,,
653,completion.title_iv.mid_inc.withdrawn_by.3yrs,MD_INC_WDRAW_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 3 years",,,
654,completion.title_iv.mid_inc.transf_withdrawn_4yr_by.3yrs,MD_INC_WDRAW_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years",,,
655,completion.title_iv.mid_inc.transf_withdrawn_2yr_by.3yrs,MD_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years",,,
656,completion.title_iv.mid_inc.still_enrolled_by.3yrs,MD_INC_ENRL_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 3 years",,,
657,completion.title_iv.mid_inc.transf_still_enrolled_4yr_by.3yrs,MD_INC_ENRL_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years",,,
658,completion.title_iv.mid_inc.transf_still_enrolled_2yr_by.3yrs,MD_INC_ENRL_2YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years",,,
659,completion.title_iv.mid_inc.unknown_by.3yrs,MD_INC_UNKN_ORIG_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 3 years at original institution",,,
660,completion.title_iv.mid_inc.transf_unknown_4yr_by.3yrs,MD_INC_UNKN_4YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years",,,
661,completion.title_iv.mid_inc.transf_unknown_2yr_by.3yrs,MD_INC_UNKN_2YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years",,,
662,completion.title_iv.high_inc.died_by.3yrs,HI_INC_DEATH_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who died within 3 years at original institution",,,
663,completion.title_iv.high_inc.completed_by.3yrs,HI_INC_COMP_ORIG_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 3 years at original institution",,,
664,completion.title_iv.high_inc.transf_completed_4yr_by.3yrs,HI_INC_COMP_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years",,,
665,completion.title_iv.high_inc.transf_completed_2yr_by.3yrs,HI_INC_COMP_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years",,,
666,completion.title_iv.high_inc.withdrawn_by.3yrs,HI_INC_WDRAW_ORIG_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 3 years",,,
667,completion.title_iv.high_inc.transf_withdrawn_4yr_by.3yrs,HI_INC_WDRAW_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years",,,
668,completion.title_iv.high_inc.transf_withdrawn_2yr_by.3yrs,HI_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years",,,
